,run,name,time,value
71,0,tDistribution,"[ 10000.85759145  10003.12251496  10003.17087997 ... 249999.35557814
 249999.53463031 249999.93777098]",[2.26492351 0.04836501 0.36984931 ... 0.17905218 0.40314067 0.44300968]
72,0,tDistribution,"[ 10000.89201822  10001.58926861  10002.66107781 ... 249995.94627981
 249997.42746152 249998.08531075]",[0.69725038 1.0718092  0.90225383 ... 1.48118171 0.65784923 2.73239544]
73,0,tDistribution,"[ 10000.90204818  10001.85225977  10002.67792291 ... 249997.79559944
 249999.12926141 249999.6738191 ]",[0.95021159 0.82566314 0.57049923 ... 1.33366197 0.54455769 0.56122757]
74,0,tDistribution,"[ 10000.92082678  10002.6636165   10003.6458015  ... 249997.06765831
 249999.19891407 249999.60143033]",[1.74278972 0.982185   0.74797113 ... 2.13125576 0.40251626 0.94518306]
75,0,tDistribution,"[ 10000.92569814  10001.60664685  10001.72715567 ... 249996.50344269
 249997.13284123 249997.98675321]",[0.68094871 0.12050883 0.21406009 ... 0.62939854 0.85391198 3.08513929]
76,0,tDistribution,"[ 10000.95249132  10002.67045134  10005.91142368 ... 249998.08285217
 249998.14523493 249999.40755075]",[1.71796002 3.24097233 1.38720143 ... 0.06238276 1.26231582 3.35910858]
77,0,tDistribution,"[ 10000.98235134  10003.16932253  10005.07181866 ... 249998.93301266
 249999.03610412 249999.64093414]",[2.18697118 1.90249614 1.92647358 ... 0.10309146 0.60483002 0.57824702]
82,0,tDistribution,"[ 10001.1072989   10002.9087893   10003.25541804 ... 249994.09398326
 249995.82541406 249996.13920284]",[1.80149039 0.34662874 1.54756353 ... 1.7314308  0.31378879 4.88728805]
83,0,tDistribution,"[ 10001.11204458  10001.13569369  10001.47158396 ... 249998.22397127
 249998.29608414 249998.70054165]",[0.0236491  0.33589028 1.73505403 ... 0.07211287 0.40445751 4.96832644]
88,0,tDistribution,"[ 10001.18565794  10001.29278062  10004.24634472 ... 249999.00456754
 249999.31886145 249999.51452691]",[0.10712267 2.9535641  0.62548435 ... 0.31429392 0.19566546 0.6221211 ]
