aircraft,throughput,serviceTime,queueLength
aircraft[0].dataLink[527],0.1175,1.759355716658025e-05,0.021276595744681
aircraft[0].dataLink[532],0.11,1.9425603064232498e-05,0.090909090909091
aircraft[0].dataLink[533],0.2375,1.808534041895075e-05,0.10526315789474
aircraft[0].dataLink[537],0.0875,1.756796973839875e-05,0.057142857142857
aircraft[0].dataLink[538],0.255,1.90173287815835e-05,0.07843137254902
aircraft[0].dataLink[541],0.0875,1.8249629826140502e-05,0.0
aircraft[0].dataLink[542],0.215,1.910595760726425e-05,0.011627906976744
aircraft[0].dataLink[548],0.09,1.81417658703685e-05,0.055555555555556
aircraft[0].dataLink[550],0.1125,1.984763086407325e-05,0.11111111111111
aircraft[0].dataLink[553],0.2325,1.8649138454699248e-05,0.1505376344086
aircraft[0].dataLink[554],0.1,1.75931552350185e-05,0.0
aircraft[0].dataLink[562],0.0925,1.862701842678025e-05,0.027027027027027
aircraft[0].dataLink[563],0.0925,1.82088013265e-05,0.0
aircraft[0].dataLink[564],0.0925,1.925516775092425e-05,0.0
aircraft[0].dataLink[572],0.1,1.7705150817397e-05,0.15
aircraft[0].dataLink[574],0.1625,1.869529346916e-05,0.076923076923077
aircraft[0].dataLink[575],0.1925,1.76091520023555e-05,0.1038961038961
aircraft[0].dataLink[588],0.1125,1.756597869284325e-05,0.088888888888889
aircraft[0].dataLink[589],0.1175,1.90990596724505e-05,0.063829787234043
aircraft[0].dataLink[590],0.0725,1.789282225466225e-05,0.0
aircraft[0].dataLink[594],0.1,1.7587233968976e-05,0.0
aircraft[0].dataLink[597],0.1025,2.07331622355865e-05,0.24390243902439
aircraft[0].dataLink[599],0.0825,1.756845610646725e-05,0.03030303030303
aircraft[0].dataLink[610],0.2025,1.7979577041588752e-05,0.024691358024691
aircraft[0].dataLink[612],0.11,1.846445443238625e-05,0.068181818181818
aircraft[0].dataLink[622],0.1125,1.8689032266597248e-05,0.044444444444444
aircraft[0].dataLink[624],0.1175,1.87665469543035e-05,0.042553191489362
aircraft[0].dataLink[626],0.2,1.79125186046285e-05,0.0
aircraft[0].dataLink[631],0.11,1.990375408964325e-05,0.045454545454545
aircraft[0].dataLink[638],0.1175,1.7994590213718998e-05,0.085106382978723
aircraft[0].dataLink[639],0.3275,1.788365197202425e-05,0.076335877862595
aircraft[0].dataLink[640],0.12,2.005338794458075e-05,0.0625
aircraft[0].dataLink[653],0.185,1.84987399633845e-05,0.013513513513514
aircraft[0].dataLink[658],0.085,1.781338041234975e-05,0.029411764705882
aircraft[0].dataLink[665],0.13,1.840534291512725e-05,0.038461538461538
aircraft[0].dataLink[670],0.0825,1.76411951047985e-05,0.03030303030303
aircraft[0].dataLink[671],0.115,1.8574076661681e-05,0.043478260869565
aircraft[0].dataLink[687],0.0925,1.8819969564343e-05,0.0
aircraft[0].dataLink[689],0.075,1.763484049224575e-05,0.0
aircraft[0].dataLink[692],0.115,1.891286234313275e-05,0.021739130434783
aircraft[0].dataLink[701],0.11,2.047187287090725e-05,0.068181818181818
aircraft[0].dataLink[704],0.135,1.756565037009725e-05,0.24074074074074
aircraft[0].dataLink[706],0.12,1.902546369656625e-05,0.14583333333333
aircraft[0].dataLink[713],0.075,1.80979488616985e-05,0.0
aircraft[0].dataLink[716],0.11,1.755074354669325e-05,0.022727272727273
aircraft[0].dataLink[718],0.1025,1.85859140197255e-05,0.24390243902439
aircraft[0].dataLink[721],0.095,1.75939940327625e-05,0.026315789473684
