aircraft,throughput,serviceTime
aircraft[2].dataLink[7],78.075,1.95397738734985e-05
aircraft[3].dataLink[4],77.3375,1.9505610312981e-05
aircraft[0].dataLink[6],77.325,1.938863825634825e-05
aircraft[1].dataLink[0],77.91,1.94920246261285e-05
aircraft[2].dataLink[3],77.5875,1.94591643649975e-05
aircraft[3].dataLink[5],78.5125,1.93972693294775e-05
aircraft[0].dataLink[9],77.805,1.93861102635525e-05
aircraft[1].dataLink[9],77.5725,1.959256439332575e-05
aircraft[2].dataLink[5],77.59,1.96339104781605e-05
aircraft[3].dataLink[9],77.61,1.952277037304875e-05
aircraft[0].dataLink[8],78.28,1.93539887497325e-05
aircraft[1].dataLink[2],77.86,1.9537963585924498e-05
aircraft[2].dataLink[4],78.0725,1.951397635845675e-05
aircraft[3].dataLink[6],77.275,1.9432889733179e-05
aircraft[0].dataLink[6],77.25,1.9251691272284e-05
aircraft[1].dataLink[2],78.0575,1.945574803475425e-05
aircraft[2].dataLink[8],77.67,1.9452342059985e-05
aircraft[3].dataLink[2],78.02,1.9523494084049e-05
aircraft[0].dataLink[3],78.4625,1.9392990998276e-05
aircraft[1].dataLink[0],77.88,1.947163549024425e-05
aircraft[2].dataLink[8],77.5825,1.941646056638275e-05
aircraft[3].dataLink[8],78.7325,1.942596663050925e-05
aircraft[0].dataLink[5],77.765,1.9574470462131e-05
aircraft[1].dataLink[6],77.7525,1.962605874391875e-05
aircraft[2].dataLink[2],78.5225,1.9501083833788e-05
aircraft[3].dataLink[9],77.7175,1.9671631907621747e-05
aircraft[0].dataLink[4],77.99,1.945593522685675e-05
aircraft[1].dataLink[8],78.2,1.9430638753421252e-05
aircraft[2].dataLink[1],77.7475,1.95270520355795e-05
aircraft[3].dataLink[2],77.5625,1.950752393769075e-05
aircraft[0].dataLink[9],78.4075,1.942581569831e-05
aircraft[1].dataLink[6],78.7675,1.9565308704704252e-05
aircraft[2].dataLink[2],78.8025,1.944188069120075e-05
aircraft[3].dataLink[2],77.495,1.95620274189485e-05
aircraft[0].dataLink[8],77.725,1.958636818231525e-05
aircraft[1].dataLink[5],78.5125,1.9521810235806248e-05
aircraft[2].dataLink[4],78.49,1.9517414174671752e-05
aircraft[3].dataLink[3],78.6,1.9528111564451e-05
aircraft[0].dataLink[0],77.8925,1.957897491824725e-05
aircraft[1].dataLink[6],77.25,1.948304020397625e-05
aircraft[2].dataLink[5],77.3975,1.943132107794625e-05
aircraft[3].dataLink[9],77.915,1.9479040910832252e-05
aircraft[0].dataLink[4],77.825,1.944106938509925e-05
aircraft[1].dataLink[0],77.24,1.948909853091075e-05
aircraft[2].dataLink[0],77.99,1.948270370660225e-05
aircraft[3].dataLink[6],77.1075,1.93986525162155e-05
aircraft[0].dataLink[5],78.155,1.94027349317355e-05
aircraft[1].dataLink[1],77.6,1.943389328004975e-05
aircraft[2].dataLink[9],78.685,1.955159273041675e-05
aircraft[3].dataLink[0],77.555,1.946237821072875e-05
aircraft[0].dataLink[3],78.4875,1.9608942896492498e-05
aircraft[1].dataLink[3],77.92,1.946845284892325e-05
aircraft[2].dataLink[9],78.0325,1.9590073059587748e-05
aircraft[3].dataLink[7],77.52,1.936779236314175e-05
aircraft[0].dataLink[2],78.0875,1.9452135973844e-05
aircraft[1].dataLink[9],77.695,1.9323500747572752e-05
aircraft[2].dataLink[1],78.9525,1.9356986348626248e-05
aircraft[3].dataLink[4],78.2575,1.949949541073375e-05
aircraft[0].dataLink[5],78.2725,1.9555457936127747e-05
aircraft[1].dataLink[0],78.065,1.955841503526125e-05
aircraft[2].dataLink[8],77.5375,1.954571769391425e-05
aircraft[3].dataLink[2],78.27,1.959566270910025e-05
aircraft[0].dataLink[3],77.285,1.9384363555606e-05
aircraft[1].dataLink[8],77.7425,1.954260598676475e-05
aircraft[2].dataLink[3],78.22,1.94966819240185e-05
aircraft[3].dataLink[2],78.55,1.9467735539505248e-05
aircraft[0].dataLink[8],78.2525,1.940775026434125e-05
aircraft[1].dataLink[8],77.82,1.952627776775625e-05
aircraft[2].dataLink[9],77.8,1.94498099038715e-05
aircraft[3].dataLink[2],77.93,1.9440532535989e-05
aircraft[0].dataLink[5],78.935,1.9393545390863e-05
aircraft[1].dataLink[3],77.8625,1.95314714698835e-05
aircraft[2].dataLink[8],77.6825,1.9465535912734248e-05
aircraft[3].dataLink[4],78.47,1.9372241438433e-05
aircraft[0].dataLink[6],78.6525,1.9515122918293998e-05
aircraft[1].dataLink[8],77.505,1.9489285920681e-05
aircraft[2].dataLink[4],78.4675,1.968769948751225e-05
aircraft[3].dataLink[6],77.7525,1.945806161361025e-05
aircraft[0].dataLink[6],77.7275,1.9492206539995e-05
aircraft[1].dataLink[3],77.805,1.95281933925515e-05
aircraft[2].dataLink[6],76.9375,1.955112734260025e-05
aircraft[3].dataLink[7],78.6325,1.939627566281325e-05
aircraft[0].dataLink[4],77.78,1.9342045787047e-05
aircraft[1].dataLink[6],79.2,1.9501369729992e-05
aircraft[2].dataLink[7],78.3175,1.959337753037975e-05
aircraft[3].dataLink[4],78.005,1.94823915053745e-05
aircraft[0].dataLink[8],78.265,1.95297008330325e-05
aircraft[1].dataLink[9],78.235,1.95113479182935e-05
aircraft[2].dataLink[3],78.065,1.94809551481665e-05
aircraft[3].dataLink[4],78.67,1.93815742124205e-05
aircraft[0].dataLink[5],78.405,1.9549732117559002e-05
aircraft[1].dataLink[9],78.8425,1.966540729794275e-05
