aircraft,throughput,serviceTime,queueLength
aircraft[0].dataLink[44],1.215,1.7728991437917248e-05,0.049382716049383
aircraft[0].dataLink[45],0.8725,1.7724599796182e-05,0.068767908309456
aircraft[0].dataLink[46],0.4075,1.77315322842985e-05,0.067484662576687
aircraft[0].dataLink[47],0.7925,1.7692530672406998e-05,0.075709779179811
aircraft[0].dataLink[48],0.6975,1.773989466382975e-05,0.057347670250896
aircraft[0].dataLink[49],0.5825,1.7710206216384e-05,0.021459227467811
aircraft[0].dataLink[0],0.5725,1.780864394361275e-05,0.048034934497817
aircraft[0].dataLink[1],0.9575,1.77432630589595e-05,0.044386422976501
aircraft[0].dataLink[2],0.9575,1.7693014530771248e-05,0.04177545691906
aircraft[0].dataLink[3],0.9575,1.776212017196675e-05,0.093994778067885
aircraft[0].dataLink[4],0.5475,1.7773528082708998e-05,0.10045662100457
aircraft[0].dataLink[5],0.895,1.7717059388415e-05,0.036312849162011
aircraft[0].dataLink[6],0.425,1.773943438777875e-05,0.041176470588235
aircraft[0].dataLink[7],1.1675,1.77446176152345e-05,0.062098501070664
aircraft[0].dataLink[8],0.545,1.772769357492625e-05,0.059633027522936
aircraft[0].dataLink[9],0.445,1.7790836147317252e-05,0.078651685393258
aircraft[0].dataLink[10],0.905,1.767546142287625e-05,0.069060773480663
aircraft[0].dataLink[11],0.7175,1.771233117085525e-05,0.059233449477352
aircraft[0].dataLink[12],0.9925,1.772763882231125e-05,0.055415617128463
aircraft[0].dataLink[13],0.82,1.77081951094005e-05,0.064024390243902
aircraft[0].dataLink[14],0.6825,1.7725580923184252e-05,0.036630036630037
aircraft[0].dataLink[15],0.7125,1.77392529752475e-05,0.07719298245614
aircraft[0].dataLink[16],0.62,1.7746682631802998e-05,0.048387096774194
aircraft[0].dataLink[17],0.6725,1.77570035838755e-05,0.026022304832714
aircraft[0].dataLink[18],0.4925,1.772765384474175e-05,0.035532994923858
aircraft[0].dataLink[19],0.5775,1.771256796678725e-05,0.012987012987013
aircraft[0].dataLink[20],1.035,1.77909847049415e-05,0.10386473429952
aircraft[0].dataLink[21],1.1125,1.77363049936355e-05,0.10786516853933
